Textbox201,Textbox215,Textbox219,Textbox223,Textbox199,Textbox217,Textbox203,Textbox209,Textbox221,,,,,,,,,,,,,,
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",191168,4.01(e),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de información financiera y estructura de control interno adecuados,13-May-15,15-Oct-15,13-May-15,30-Oct-15,15,-3862
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678937,4.01.a,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,15-Aug-23,31-Jan-24,15-Sep-23,15-Sep-23,-138,-985
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678940,4.01.a,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,1-Mar-25,2-Apr-25,15-Mar-25,15-Mar-25,-18,-438
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678936,4.01.a,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,15-Mar-23,31-Jan-24,15-Mar-23,15-Mar-23,-322,-1169
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678938,4.01.a,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,15-Mar-24,30-Apr-24,15-Mar-24,15-Mar-24,-46,-803
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",705321,4.02 (b),5698,3072/CH-CR,CID/CCR,TRACK,Sectorial,Informe Anual de Mantenimiento,,,31-Mar-26,31-Mar-26,,-57
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",705320,4.02 (b),5696,3071/OC-CR,CID/CCR,TRACK,Sectorial,Informe Anual de Mantenimiento,,,31-Mar-26,31-Mar-26,,-57
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",652623,4.06 c),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Acuerdo entre el OE y el Puerto de Caldera para la fecha de finalización de obras,29-Nov-19,3-Dec-19,31-Dec-19,31-Dec-19,28,-2339
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",705322,4.07,5696,3071/OC-CR,CID/CCR,TRACK,Sectorial,Informe de Evaluación Ex-Post,,,13-Mar-27,13-Mar-27,,290
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",705323,4.07,5698,3072/CH-CR,CID/CCR,TRACK,Sectorial,Informe de Evaluación Ex-Post,,,13-Mar-27,13-Mar-27,,290
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678941,5.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,28-Apr-23,28-Jun-23,30-Apr-23,30-Apr-23,-59,-1123
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",690057,5.03,5698,3072/CH-CR,CID/CCR,TRACK,Financial,Estados Financieros Auditados anuales,,,30-Apr-26,30-Apr-26,,-27
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",690057,5.03,5696,3071/OC-CR,CID/CCR,TRACK,Financial,Estados Financieros Auditados anuales,,,30-Apr-26,30-Apr-26,,-27
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678942,5.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,30-Apr-24,3-May-24,30-Apr-24,30-Apr-24,-3,-757
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",690056,5.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,30-Apr-25,27-May-25,30-Apr-25,30-Apr-25,-27,-392
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678941,5.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,28-Apr-23,28-Jun-23,30-Apr-23,30-Apr-23,-59,-1123
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",690056,5.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,30-Apr-25,27-May-25,30-Apr-25,30-Apr-25,-27,-392
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",678942,5.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados anuales,30-Apr-24,3-May-24,30-Apr-24,30-Apr-24,-3,-757
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257466,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,14-Feb-17,21-Aug-17,31-Dec-16,31-Dec-16,-233,-3434
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257467,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,31-Dec-17,21-Sep-18,31-Dec-17,31-Dec-17,-264,-3069
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663652,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,1-Apr-22,7-Apr-22,31-Dec-21,31-Dec-21,-97,-1608
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257468,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,26-Nov-18,12-Mar-19,31-Dec-18,31-Dec-18,-71,-2704
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257462,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,31-Dec-17,21-Sep-18,31-Dec-17,31-Dec-17,-264,-3069
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663651,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,29-Oct-20,3-Mar-21,31-Dec-20,31-Dec-20,-62,-1973
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257464,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,2-Dec-19,3-Dec-19,31-Dec-19,31-Dec-19,28,-2339
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257466,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,14-Feb-17,21-Aug-17,31-Dec-16,31-Dec-16,-233,-3434
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663652,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,1-Apr-22,7-Apr-22,31-Dec-21,31-Dec-21,-97,-1608
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663653,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,29-Oct-20,3-Mar-21,31-Dec-20,31-Dec-20,-62,-1973
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663653,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,29-Oct-20,3-Mar-21,31-Dec-20,31-Dec-20,-62,-1973
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663651,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Plan de Adquisiciones,29-Oct-20,3-Mar-21,31-Dec-20,31-Dec-20,-62,-1973
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257468,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,26-Nov-18,12-Mar-19,31-Dec-18,31-Dec-18,-71,-2704
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257462,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,31-Dec-17,21-Sep-18,31-Dec-17,31-Dec-17,-264,-3069
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257467,7.02 (c),5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,31-Dec-17,21-Sep-18,31-Dec-17,31-Dec-17,-264,-3069
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",257464,7.02 (c),5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Plan de Adquisiciones,2-Dec-19,3-Dec-19,31-Dec-19,31-Dec-19,28,-2339
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221324,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,16-Jul-20,12-Aug-20,28-Aug-20,28-Aug-20,16,-2098
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691923,8.03,5698,3072/CH-CR,CID/CCR,TRACK,Sectorial,Informes Semestrales,,,31-Aug-26,31-Aug-26,,96
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691927,8.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informe semestral,27-Jan-26,14-Apr-26,1-Mar-26,1-Mar-26,-44,-87
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691919,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,29-Aug-25,30-Sep-25,31-Aug-25,31-Aug-25,-30,-269
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691918,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,29-Jul-24,25-Oct-24,31-Aug-24,31-Aug-24,-55,-634
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221322,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,28-Aug-19,29-Aug-19,28-Aug-19,28-Aug-19,-1,-2464
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221320,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,28-Aug-18,28-Aug-18,28-Aug-18,28-Aug-18,0,-2829
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221318,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,28-Aug-17,1-Sep-17,28-Aug-17,28-Aug-17,-4,-3194
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691925,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe semestral,27-Jan-26,14-Apr-26,1-Mar-26,1-Mar-26,-44,-87
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221323,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,2-Mar-20,13-Mar-20,28-Feb-20,28-Feb-20,-14,-2280
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691922,8.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,15-Aug-25,30-Sep-25,31-Aug-25,31-Aug-25,-30,-269
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691921,8.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informes Semestrales,15-Aug-24,30-Sep-25,31-Aug-24,31-Aug-24,-395,-634
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691920,8.03,5696,3071/OC-CR,CID/CCR,TRACK,Sectorial,Informes Semestrales,,,31-Aug-26,31-Aug-26,,96
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691926,8.03,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informe semestral,1-Mar-25,2-Apr-25,1-Mar-25,1-Mar-25,-32,-452
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221316,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,31-Aug-16,14-Sep-16,31-Aug-16,31-Aug-16,-14,-3556
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221321,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,26-Feb-19,12-Mar-19,28-Feb-19,28-Feb-19,-12,-2645
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",691924,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe semestral,1-Mar-25,2-Apr-25,1-Mar-25,1-Mar-25,-32,-452
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221319,8.03,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,15-Feb-18,16-Feb-18,28-Feb-18,28-Feb-18,12,-3010
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663644,8.03 - S3 - S2,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,24-Aug-21,16-Nov-21,30-Sep-21,30-Sep-21,-47,-1700
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663645,8.03 - S3 - S2,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,23-Feb-22,7-Apr-22,31-Mar-22,31-Mar-22,-7,-1518
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663644,8.03 - S3 - S2,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,24-Aug-21,16-Nov-21,30-Sep-21,30-Sep-21,-47,-1700
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663645,8.03 - S3 - S2,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,23-Feb-22,7-Apr-22,31-Mar-22,31-Mar-22,-7,-1518
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663643,8.03 - S3 - S2,5696,3071/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,28-Jan-21,3-Mar-21,31-Mar-21,31-Mar-21,28,-1883
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",663643,8.03 - S3 - S2,5698,3072/CH-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,28-Jan-21,3-Mar-21,31-Mar-21,31-Mar-21,28,-1883
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656082,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,22-Apr-21,22-Apr-21,30-Apr-21,30-Apr-21,8,-1853
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656082,8.04,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,22-Apr-21,22-Apr-21,30-Apr-21,30-Apr-21,8,-1853
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221337,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,28-Apr-17,28-Sep-17,30-Apr-17,30-Apr-17,-151,-3314
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221338,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,12-Mar-18,12-Mar-18,30-Apr-18,30-Apr-18,49,-2949
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",652409,8.04,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,8-Apr-20,14-Apr-20,30-Apr-20,30-Apr-20,16,-2218
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656083,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,29-Apr-22,6-Jun-22,30-Apr-22,30-Apr-22,-37,-1488
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",221339,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,4-Mar-19,12-Mar-19,30-Apr-19,30-Apr-19,49,-2584
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",652409,8.04,5696,3071/OC-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,8-Apr-20,14-Apr-20,30-Apr-20,30-Apr-20,16,-2218
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656083,8.04,5698,3072/CH-CR,CID/CCR,FULFILLED,Financial,Estados Financieros Auditados,29-Apr-22,6-Jun-22,30-Apr-22,30-Apr-22,-37,-1488
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656684,8.04,5698,3072/CH-CR,CID/CCR,TRACK,Financial,Estados Financieros Auditados Finales,,,12-Mar-23,13-Mar-27,,290
INE,INE/TSP,CR-L1032,Infrastructure Transport Program (PIT),LON,GOM,INV,DI,"ANSALDO, MARIANO PEDRO",656684,8.04,5696,3071/OC-CR,CID/CCR,TRACK,Financial,Estados Financieros Auditados Finales,,,12-Mar-23,13-Mar-27,,290
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661291,2.04,31510,4864/OC-CR,CID/CCR,TRACK,Financial,Plazo para desembolsos,,,29-Sep-25,29-Sep-27,,490
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661297,3.01 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Manual Operativo del Programa (MANOP) Aprobado,26-Nov-20,3-Dec-20,29-Mar-21,29-Mar-21,116,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661298,3.01 (b),31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,"Comité de Administración y Supervisión “CAS” y Unidad Asesora “UA” con funciones, personal y recursos asignados",8-Dec-20,9-Dec-20,29-Mar-21,29-Mar-21,110,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661299,3.01 (c),31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Plan de Reasentamiento Involuntario (PRI) de la Ruta 1 y el Plan de Adquisición Predial y Atención a Afectados de la Ruta 2 completado y aprobado,9-Nov-20,12-Nov-20,29-Mar-21,29-Mar-21,137,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661300,4.01 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Legal Report,"Informe Jurídico fundado que establezcan, con señalamientos a disposiciones constitucionales, legales y reglamentarias, que las obligaciones contraídas por el Prestatario son válidas y exigibles.",2-Dec-20,11-Dec-20,29-Mar-21,29-Mar-21,108,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661301,4.01 (b),31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial Prior Condition,Documento con firmas autorizadas designadas por el Prestatario o en su caso el Organismo Ejecutor autenticado y aprobado.,12-Nov-20,12-Nov-20,29-Mar-21,29-Mar-21,137,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661303,4.01 (c),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Información de Cuentas Bancarias para depositar los desembolsos de Préstamo enviada por el representante autorizado.,2-Dec-20,3-Dec-20,29-Mar-21,29-Mar-21,116,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",661304,4.01 (d),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial Prior Condition,Sistema de información financiera y estructura de control interno aprobados.,25-Nov-20,3-Dec-20,29-Mar-21,29-Mar-21,116,-1885
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701797,5.01 (c) - I Semestre 2026,31510,4864/OC-CR,CID/CCR,TRACK,Sectorial,Informe Semestral de Progreso,,,15-Aug-26,15-Aug-26,,80
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701799,5.01 (c) - I Semestre 2027,31510,4864/OC-CR,CID/CCR,TRACK,Sectorial,Informe Semestral de Progreso,,,15-Aug-27,15-Aug-27,,445
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701796,5.01 (c) - II Semestre 2025,31510,4864/OC-CR,CID/CCR,FULFILLED,Sectorial,Informe Semestral de Progreso,30-Jan-26,7-Apr-26,15-Feb-26,15-Feb-26,-51,-101
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701798,5.01 (c) - II Semestre 2026,31510,4864/OC-CR,CID/CCR,TRACK,Sectorial,Informe Semestral de Progreso,,,15-Feb-27,15-Feb-27,,264
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",705314,5.02 (i),31510,4864/OC-CR,CID/CCR,TRACK,Financial,Informe Final Estados Financieros Auditados del Programa,,,29-Jan-28,29-Jan-28,,612
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701801,7.03,31510,4864/OC-CR,CID/CCR,TRACK,Financial,Informe de Auditoria Financiera Externa,,,30-Apr-27,30-Apr-27,,338
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",701800,7.03,31510,4864/OC-CR,CID/CCR,TRACK,Financial,Informe de Auditoría Financiera Externa,,,30-Apr-26,30-Apr-26,,-27
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",665541,Artículo 7.03 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoría Financiera Externa,30-Apr-24,3-May-24,30-Apr-24,30-Apr-24,-3,-757
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",665539,Artículo 7.03 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoría Financiera Externa,29-Apr-22,11-May-22,30-Apr-22,30-Apr-22,-11,-1488
INE,INE/TSP,CR-L1139,Road Infrastructure Program and promotion of Public-Private Partnerships (PPP),LON,ESP,INV,DI,"ANSALDO, MARIANO PEDRO",665540,Artículo 7.03 (a),31510,4864/OC-CR,CID/CCR,FULFILLED,Financial,Informes de Auditoría Financiera Externa,28-Apr-23,28-Jun-23,30-Apr-23,30-Apr-23,-59,-1123
